,topiccomment_list,Details_list
0,,item4
1,"4.0 93 เรตติ้ง (75 รีวิว)ไร่/ฟาร์ม/สวนเกษตร, ศูนย์การเรียนรู้•ไม่มีค่าเข้าชมปิดอยู่จะเปิดในเวลา 08:00",item2
2,"กิจกรรมแนะนำ: ปั่นจักรยาน, พักผ่อน, ชมบรรยากาศ, ถ่ายรูป, ศึกษาธรรมชาติระยะเวลาที่ใช้กับสถานที่นี้: 1 - 2 ชั่วโมง",item3
3,"กิจกรรมแนะนำ: ถ่ายรูป, ชิมชา, ทานอาหารระยะเวลาที่ใช้กับสถานที่นี้: ครึ่งวัน",item1
4,"กิจกรรมแนะนำ: เดินเล่นชมวิว, ชมประวัติศาสตร์ทางโบราณคดี, ถ่ายรูประยะเวลาที่ใช้กับสถานที่นี้: 1 - 2 ชั่วโมง","วันนี้จะมาแนะนำจุดแวะพัก ริมถนนสุขุมวิท ทางไปสัตหีบ 

เป็นจุดที่มีมุมถ่ายรูปสวยๆ หลายจุด เป็นสไตล์ยุโรป และยังมีร้านอาหารและคาเฟ่ ให้ได้นั่งพักชิลๆ ยิ่งมาช่วงบ่ายๆ จะถ่ายรูปได้สวยงามครับ หากมีโอกาสลองแวะมาครับ"
5,4.4 83 เรตติ้ง (62 รีวิว)ไร่/ฟาร์ม/สวนเกษตร•ไม่มีค่าเข้าชม,"ปราสาทหินพนมรุ้ง ตั้งอยู่ในจังหวัดบุรีรัมย์ เป็นปราสาทหินที่สวยงามที่มีอายุมากกว่า 100 ปี ขับรถวนขึ้นเขาไปตามทาง มีป้ายบอกทาง พอได้ที่จอเรถแล้ว เดินเท้าเข้าไปซื้อบัตรเข้าอุทยาน เดินไปไม่กี่ร้อยเมตร ก็จะเจอปราสาทหินที่สวยงาม ดูแล้วมีมนต์ขลัง ปกติแล้วภายใน 1 ปี จะมีปรากฎการณ์พระอาทิตย์ลอดช่องประตู 15 ช่อง ไม่มั่นใจว่า 1 ปีมี 4 ครั้งหรือเปล่า ซึ่งเป็นปรากฎการณ์ธรรมชาติที่สวยงามมาก แนะนำว่าสักครั้งควรไปดูปรากฎการณ์นี้ให้ได้ แนะนำเลยค่ะ
#Wongnaisongkran2023"
6,"กิจกรรมแนะนำ: ถ่ายรูป, ทานอาหาร, ให้อาหารม้าระยะเวลาที่ใช้กับสถานที่นี้: 1 - 2 ชั่วโมง","สวนนี้อยู่ติดกับพระตำหนักดอยตุง เสียค่าเข้าสวน 90 บาท อยู่นานเท่าไหร่ก็ได้ คุณภาพเทียบกับสวนดีๆในเมืองนอกเลย แต่ค่าเข้าย่อมเยาว์กว่ามาก

ในสวนพื้นที่ใหญ่พอสมควร มีหลายโซน หลายมุม มีจุดถ่ายรูปเยอะ มีดอกไม้เมืองหนาวเพียบ ถ้ามาหน้าหนาวอากาศดีมาก เรามาพักที่ Doitung lodge เลยมาเดินในสวนช่วงเช้าๆ อากาศยิ่งดีใหญ่ แดดไม่แรง คนน้อย ไม่เบียดเสียด ถ่ายรูปไม่ติดคน

ในสวนมี Doitung cafe ด้วย กินไปชมวิว ดูดอกไม้ไป ชิวมาก

#Wongnaisongkran2023"
7,"กิจกรรมแนะนำ: ถ่ายรูป, ชิมชา, ชิมใบชาทอดกรอบ, ทานอาหารระยะเวลาที่ใช้กับสถานที่นี้: 1 - 2 ชั่วโมง",กินมานมนานต้องมาสักที แค่อยากมาถ่ายรูปด้านหน้ากับสิงห์เท่านั้น อากาศปลอดโปร่งโล่งสงาย แดดแจ่มๆ รูปออกมาสวย เพราะแสงจากด้านบนส่องลงมา ตัวสิงห์จะเกิดเงาชัดและมีมิติ ข้างในน่าจะมีกิจกรรมแต่ไม่ได้เข้าด้วย ต้องไปที่อื่นต่อ
8,"กิจกรรมแนะนำ: ถ่ายรูป, ศึกษาธรรมชาติ, พักผ่อน, ชมบรรยากาศระยะเวลาที่ใช้กับสถานที่นี้: 1 - 2 ชั่วโมง","ถ้าให้นึกถึงการใช้ชีวิตแบบเรียบง่าย​ ไม่ต้องเร่งรีบ​ นั่งฟังเสียงธรรมชาติ​ ต้องที่แม่กำปอง​ ทั้งอากาศเย็นถึงหนาวตลอดทั้งปี​ เป็น​หมู่บ้านที่ขนาบ​ 2​ ข้างทางในหุบเขา​ เส้นทางการเดินทางมาที่อาจจะลำบากนิดหน่อย​ ตรงถนน​ 2​ เลนที่ไม่ได้กว้างมากนัดพร้อมกับเร่งไปตอนขึ้นเนินดอย​ แต่ความสวยงามและธรรมชาติ​รายล้อมก็ไม่ทำให้ผิดหวังจริงๆ

ที่พักสามารถหาได้ตามระแวกหมู่บ้านเลยค่ะ​ เพราะชาวบ้านส่วนใหญ่ทำ โฮมสเตย์​ กันอยู่แล้ว​ หรือใครจะมาแบบไปเช้าเย็นกลับก็ได้​ ที่เที่ยวเดินเล่นถ่ายรูป​ อยู่ติดกัน​ เรียกได้ว่า  เดินไปกินไปเที่ยวไป

เรามาช่วงการผ่อนปลนล็อกดาวจากสถานการณ์​โควิด-19 เริ่มดีขึ้น​ ผู้คนจากที่ต้องอยู่แต่บ้าน​ ก็เริ่มพลั่งพลูกันออกมาให้ธรรมชาติ​ช่วยผ่อนคลาย​ ที่จอดรถก็จะหายากๆหน่อย​ เดินทางมาเที่ยวก็ระมัดระวังกันด้วยนะคะช่วงหน้าฝน

มีโอกาสก็แวะมาแอ่วกันเน่อเจ้า​ มาให้ปอดได้สูดโอโซนเข้าร่างกาย"
9,"4.5 70 เรตติ้ง (67 รีวิว)เชิงประวัติศาสตร์, อุทยานและธรรมชาติ•ค่าเข้าชม: ฿ 20/คนปิดอยู่จะเปิดในเวลา 08:00",สิงห์ปาร์ค เชียงราย หรือไร่บุญรอด พึ่งเคยมาครั้งแรก คือใหญ่และกว้างมาก มีค่าบริการแต่จำไม่ได้ว่าเท่าไหร่ ภายในไร่ก็มีสวนดอกไม้ ไร่ชา ที่เราสามารถเลือกวัตถุดิบมาใส่ถุงชาเองได้ด้วย มีสวนสัตว์เล็กๆ ไว้ให้เด็กๆได้ดู มีกิจกรรมต่างๆอีกมากมาย เพราะไร่ใหญ่มากจริงๆ ที่พลาดไม่ได้คือมุมถ่ายรูป รูปปั้นสิงห์สีทองขนาดใหญ่บนเนินหญ้าสีเขียว
